id,job-title,title-rating
8f70468c9299cc94,Software Test Automation Engineer (Python / HIL),7
17e044807620b19f,Scenario Engineer,7
63f1f57774f069b9,Firmware Engineer 2,5
75c94a232499b711,Software Engineer - Platform Infrastructure,7
060ed8d6978c63d8,Senior Software Engineer,5
a61230c57faed3dc,Developer Advocate,3
ce585ed393e92161,Video Coding/Transcoding Algorithm Engineer,7
8b9c2d1c0e02fe7c,RF System Engineer Associate (Summer 2024),8
2ed013fd1e98efef,Legal Data Researcher - School of Law,5
7ce2da7b69acab64,Power Electronics Associate (Fall 2024),5
645438992bc0626b,Biological Data Scientist,6
8f70e75695592499,Research Scientist - LLM [Large Language Model] - TikTok Trust and Safety,6
a640d628e14e5bec,"Data Analyst, Semi Truck",7
24869f76363f18f7,Research Associate,6
e274d4e32ca5299b,Data Engineer,7
8bf73b7205227dd9,ASIC Clocks Engineer - New College Grad 2023,6
970fd46efbc252ce,"Software Engineer, Deep Learning cuDNN - New College Grad 2023",7
59f907be08bf5bc1,iPhone Data Analysis Engineer,6
1e56b4d35846a8b0,"Full Stack Engineer, Analytics",7
1b68fef69182fec7,Data Scientist,8
f3bd1a4133e9040c,Support Engineer,7
f0acb6290dbe44a6,Founding Full-Stack Engineer,5
abfcfd325e85d3e7,"Software Engineer, Robot Software Engineering",7
7efc7bfb75cb6f28,Software Engineer,8
3b0970bc8d72932,Code Coach,8
2a99fcbe447b41a,After School Instructor (Part-time),7
8a3e514261af9f91,Accessibility Software Automation Engineer,7
7600b06d995a8bd0,"Solutions Architect, WWFO - New College Grad",6
159c4f5ccac8d3d9,Gen AI Engineer,7
e8d04e2d67492e11,Staff Research Associate 1 (9613C) - 60183,3
fa2fb00babcb483c,WiFi Performance Software Engineer,6
47fb32bb62df4281,Software Developer Test - CoreLocation,7
7db3e5e54689db18,"R&D Engineer III, Systems and Robotics",5
baddb7013a62ba11,AI Customer Support,5
bf086a647de67653,Software Engineer Graduate (Monetization Technology - Business Integrity - Customer Experience) - 2024 Start (BS/MS),7
8966d2a5ce7576b0,"Robotics CAE Engineer, Tesla Bot",7
d8977cee45286cb,"Coding Tutor (in-person/remote Fremont, CA) at theCoderSchool",5
9da6ca2c7b7f130,Computer Teacher,7
7eefccc9cf5e294,Embedded Software Security Engineer,5
d1c5463fcdbc157,Test Engineer,6
82efa3b1a75ebdb,Life Science Research Professional 1,1
6495096f0b2a1dc2,Software Engineer -- Backend,8
c76258eed285443b,Application Engineer - New College Grad,7
d7b6bd5d11c14a99,DevOps Engineer,5
9b24ae54dd12d449,Front End Engineer - Search & Computer Vision,8
71bfe849400e2d3,Electrical Engineer,1
41bcfda103af0440,"Software Engineer, TikTok Brand Ads",6
8d24b68dce97b5bc,Software Engineer Graduate (Cloud Native Infrastructure) - 2024 Start (BS/ MS),6
8910644995ebfbc5,"LLM Engineer, Dojo",7
9b83b0aeb30016c,QA Automation Engineer,7
542f6676d1175cc0,"Data Analyst, Risk Data Mining - USDS",7
ef6f01171984bef5,"Software Quality Assurance Engineer, Internal Tools",7
0087ce71a8431337,Software Engineer,8
dfdec9aeeeddddbb,"Associate, Software Engineer, Applications",8
a1319d41ebe3cc21,Associate Research Analyst,7
90960d45caae4b65,Software Engineering LMTS,7
27d2bd84d134eb87,CAMPUS: Software Development Engineer Associate (2024),8
08be3a38767dab76,Software Infrastructure Engineer (Starlink),7
5725afb9bd5fce40,Trade Desk Analyst,7
3ec83fbddb3d7aab,Research Scientist,6
5e5fe483926118fd,Software Engineer II,7
f60b192322b47181,Bioinformatician I-III,1
2bca410721a9d33c,RESEARCH TECHNICIAN (PROJECT APPOINTMENT),3
5e49a93f33c4e038,Software Development Engineer [DEPT: SII Info Intelligence US],8
ae736605fa9e04ad,Portfolio Analyst,6
d36cbfe2c98ec902,Test Specialist (Starlink),7
dbcadf91df100cc,"Software Engineer, ML Systems - AI Infra",8
582bcfcd712fe9e2,Software Engineer II,7
14046a38d5499fd8,Data Analyst - TikTok Ecommerce Anti Fraud Solutions,6
af792d6bb4382f4a,"Backend Engineer, TikTok Playback Strategy Platform",6
2d846bf41b05fc9e,Engineering Manager - AML - USDS,6
9c5c719265ba7f0d,"Software Architect, Lark No-code / Low-code Platform",7
e22eddd95c9af3fa,Software Engineer Graduate (TikTok Privacy and Security ) - 2024 Start (BS/MS/PhD),6
74fb67f5c23346c5,"Data Analyst, Risk Data Mining - USDS",7
9362e8f26c2d7ac5,"Engineer, Full Stack",7
ca4581f16e7a3559,Software engineer,8
9bdf84ef1675a5e8,Data Analyst,7
9c97f88d224ddd0,"Research Scientist, AI (PhD)",6
090c7b218f833ee,AI Research Engineer,7
94959b803286506d,Partner Journey Data Specialist,7
be9b35ec254532e8,Space Lasers Engineer (Starlink),6
2294612920d75fc6,Loss Prevention Engineer 1 (Hybrid - located in Seattle),6
75ca69e37ff91083,Development Test Engineer (Starlink),6
19ada665febbd2e4,SENIOR COMPUTER SPECIALIST,6
fe428565bba8d1b7,"Engineer 2, Vulnerability Management (Hybrid - can be located in Seattle, Los Angeles, Denver, Chicago or Atlanta)",5
90679d7b3e17c10c,"AIML - Software Engineer, Search Experience - Siri & Information Intelligence",5
5c8db9a1389ad4fe,Software Engineer II,5
bef9ed905cf9f37,"Associate Reliability, Maintainability and Systems Health Engineer",6
4d9247b99da8c19,Structures Technical Analyst - Multi -Level,6
753cc774e407931f,Junior Software Developer (Python) (Hybrid Remote),9
314630f065700668,Full-Time Research Assistant at UCLA,6
a71267882df18647,Staff Research Associate,6
21b1d9e25cde4b8,"Staff Research Associate II, Neurosurgery",1
e590fa3b66a62fde,Data Insights Analyst,7
74ebb68410b35cc9,Data Scientist,8
36795fbc5d0d68a7,Program Analyst III,6
1733a1fd7a16e43d,Metadata Specialist (Flex Hybrid),6
8f1f70fbf0803fbb,Machine Learning Engineer,8
5f23f024d43cb51d,Business Analyst - Scaled Infrastructure,7
0d491e219ae37894,"Graduate BIM and Computational Designer, Summer 2024",7
34380500ece3f865,Clinical Research Data Spec I - Smidt Heart Institute (Dr. Chugh Team),6
fc824a952d2d02fa,Junior Optimization Analyst (2),7
6f73d52b32063f97,Research Associate II - Anastassiou Lab - Department of Neurosurgery,4
808f33893d2ec74e,Manager Business Intelligence,6
7a19343696e8b810,Business Analyst - Creator Management & Lifecycle,6
88121d9edc999d83,Programmer Analyst II - Human Genetics,6
8549a4a405557ede,"Software Engineer, TikTok Brand Ads",6
d7829b7b4279634e,Research Programmer II - Semel Institute,6
f96919637082452,Research Database Manager,6
4d69b96e79df0947,Neurodegenerative Disease Informatics Research Technician,1
705adb59a094bc0,Programmer Analyst III,5
a47c85e8544c52be,Inventory Control Associate,2
817521fa648edb7c,Part-Time Lecturer of Information Technology,5
13fbaafc0dcc0b2a,Graduate Tunnelling Engineer (Available 2024),2
2bfe1eb22909b69,Neurodegenerative Disease Informatics Research Technician,1
6fbb4b5da49c67ae,Entry-Level Transportation Engineer/Planner,2
2ea59703aa6ab09d,Applications Engineer,7
cbed711e526860a2,"Water Resources Engineer, Scientist, or Data Scientist",7
aa73b50a93cd558c,"Associate, AI Business Analyst",7
